Timestamp,transaction-fees-usd
2021-10-16 00:00:00,962047.8452179555
2021-10-17 00:00:00,689819.9144213337
2021-10-18 00:00:00,978062.2909584112
2021-10-19 00:00:00,941889.2969801712
2021-10-20 00:00:00,1228067.6894583325
2021-10-21 00:00:00,1303056.3483971872
2021-10-22 00:00:00,1014196.0134359605
2021-10-23 00:00:00,680881.5972299263
2021-10-24 00:00:00,544838.4785748839
2021-10-25 00:00:00,880607.2745837299
2021-10-26 00:00:00,855518.596389572
2021-10-27 00:00:00,745820.7030768984
2021-10-28 00:00:00,784516.8960420062
2021-10-29 00:00:00,977477.7814022825
2021-10-30 00:00:00,642443.2432570005
2021-10-31 00:00:00,548792.6521585952
2021-11-01 00:00:00,939209.3286449456
2021-11-02 00:00:00,1100556.201966174
