Timestamp,total-bitcoins
2019-11-14 18:32:53,18047362.5
2019-11-15 09:26:34,18048700
2019-11-16 03:14:35,18050025
2019-11-16 20:41:44,18051350
2019-11-17 14:10:24,18052675
2019-11-18 04:10:50,18054000
2019-11-19 01:40:02,18055325
2019-11-19 18:40:23,18056675
2019-11-20 11:20:53,18058000
2019-11-21 07:34:57,18059337.5
2019-11-22 02:13:49,18060662.5
2019-11-22 21:14:36,18062000
2019-11-23 11:28:29,18063337.5
2019-11-24 02:45:29,18064675
2019-11-24 23:22:05,18066000
2019-11-25 20:02:21,18067337.5
2019-11-26 17:36:55,18068662.5
2019-11-27 13:03:52,18069987.5
2019-11-28 03:45:00,18071325
2019-11-28 20:36:37,18072662.5
2019-11-29 15:58:13,18074000
2019-11-30 11:06:09,18075362.5
2019-12-01 07:19:09,18076687.5
2019-12-02 00:41:38,18078012.5
2019-12-02 18:08:25,18079337.5
2019-12-03 11:47:21,18080662.5
2019-12-04 03:09:38,18082000
2019-12-04 18:57:32,18083325
2019-12-05 11:58:08,18084650
2019-12-06 06:21:04,18085975
2019-12-06 22:34:04,18087300
2019-12-07 16:16:16,18088650
2019-12-08 07:33:02,18089975
2019-12-09 00:55:26,18091300
2019-12-09 18:05:45,18092625
2019-12-10 13:08:57,18093950
2019-12-11 07:10:23,18095275
2019-12-12 00:38:55,18096600
2019-12-12 19:42:27,18097925
2019-12-13 12:41:49,18099262.5
2019-12-14 05:48:42,18100587.5
2019-12-14 22:48:56,18101925
2019-12-15 19:54:08,18103250
2019-12-16 12:58:19,18104587.5
2019-12-17 05:15:08,18105912.5
2019-12-17 23:15:08,18107237.5
2019-12-18 19:30:07,18108575
2019-12-19 10:51:26,18109912.5
2019-12-20 04:37:15,18111250
2019-12-20 20:21:50,18112575
2019-12-21 10:33:37,18113900
2019-12-22 01:09:14,18115225
2019-12-22 16:15:44,18116550
2019-12-23 09:26:00,18117887.5
2019-12-24 03:46:04,18119212.5
2019-12-24 23:53:59,18120537.5
2019-12-25 18:59:02,18121862.5
2019-12-26 11:45:04,18123225
2019-12-27 04:20:22,18124550
2019-12-27 22:44:43,18125900
2019-12-28 15:15:08,18127225
2019-12-29 07:42:48,18128550
2019-12-30 00:52:27,18129875
2019-12-30 14:26:35,18131200
2019-12-31 09:07:57,18132537.5
2020-01-01 01:49:35,18133862.5
2020-01-01 16:42:33,18135200
2020-01-02 07:56:07,18136525
2020-01-03 01:16:28,18137850
2020-01-03 17:03:09,18139200
2020-01-04 09:53:50,18140525
2020-01-04 23:42:51,18141862.5
2020-01-05 15:22:25,18143200
2020-01-06 08:38:38,18144525
2020-01-07 02:20:15,18145862.5
2020-01-07 18:30:51,18147187.5
2020-01-08 08:17:41,18148512.5
2020-01-09 03:20:34,18149837.5
2020-01-09 19:43:10,18151162.5
2020-01-10 13:24:52,18152512.5
2020-01-11 05:20:02,18153850
2020-01-11 20:54:51,18155175
2020-01-12 13:01:23,18156500
2020-01-13 06:18:26,18157837.5
2020-01-14 00:38:13,18159162.5
2020-01-14 19:14:59,18160487.5
2020-01-15 10:07:08,18161812.5
2020-01-16 04:44:13,18163137.5
2020-01-16 20:33:28,18164462.5
2020-01-17 10:56:09,18165787.5
2020-01-18 04:57:48,18167112.5
2020-01-19 01:01:01,18168437.5
2020-01-19 17:39:36,18169775
2020-01-20 10:51:03,18171125
2020-01-21 18:20:41,18173662.5
2020-01-22 12:46:05,18175125
2020-01-23 04:30:53,18176450
2020-01-23 21:14:53,18177775
2020-01-24 12:44:37,18179137.5
2020-01-25 06:19:38,18180462.5
2020-01-25 21:31:53,18181787.5
2020-01-26 15:30:11,18183125
2020-01-27 08:25:33,18184450
2020-01-28 05:42:20,18185775
2020-01-28 22:44:38,18187100
2020-01-29 15:20:30,18188425
2020-01-30 06:27:08,18189762.5
2020-01-30 23:47:59,18191100
2020-01-31 17:58:07,18192425
2020-02-01 08:55:36,18193750
2020-02-02 04:05:13,18195075
2020-02-02 20:53:21,18196400
2020-02-03 14:51:18,18197725
2020-02-04 08:02:59,18199050
2020-02-05 02:56:45,18200387.5
2020-02-05 18:42:19,18201712.5
2020-02-06 12:58:56,18203050
2020-02-07 07:55:29,18204387.5
2020-02-08 02:46:04,18205712.5
2020-02-08 20:19:54,18207050
2020-02-09 15:01:26,18208375
2020-02-10 07:45:10,18209712.5
2020-02-11 04:15:25,18211050
2020-02-11 22:04:57,18212387.5
2020-02-12 17:27:07,18213712.5
2020-02-13 11:40:44,18215037.5
2020-02-14 03:13:59,18216375
2020-02-14 23:16:55,18217700
2020-02-15 17:10:40,18219025
2020-02-16 10:37:02,18220350
2020-02-17 04:53:30,18221675
2020-02-17 20:23:30,18223025
2020-02-18 14:05:58,18224362.5
2020-02-19 06:55:00,18225687.5
2020-02-20 03:23:08,18227025
2020-02-20 21:57:50,18228350
2020-02-21 12:57:29,18229675
2020-02-22 07:56:09,18231000
2020-02-23 00:45:31,18232325
2020-02-23 19:34:21,18233650
2020-02-24 14:05:32,18234975
2020-02-25 06:21:38,18236312.5
2020-02-26 01:21:00,18237650
2020-02-26 19:07:01,18238975
2020-02-27 12:29:57,18240300
2020-02-28 06:11:38,18241625
2020-02-28 21:25:59,18242950
2020-02-29 15:33:52,18244275
2020-03-01 08:09:15,18245600
2020-03-01 22:01:06,18246925
2020-03-02 15:51:48,18248262.5
2020-03-03 08:01:13,18249587.5
2020-03-04 00:40:11,18250925
2020-03-04 16:47:12,18252262.5
2020-03-05 06:02:56,18253587.5
2020-03-05 23:28:36,18254912.5
2020-03-06 16:41:22,18256250
2020-03-07 08:25:19,18257587.5
2020-03-08 00:16:51,18258912.5
2020-03-08 15:46:53,18260237.5
2020-03-09 10:42:25,18261575
2020-03-10 03:17:42,18262900
2020-03-10 23:03:42,18264225
2020-03-11 18:51:11,18265550
2020-03-12 13:38:34,18266887.5
2020-03-13 08:45:14,18268237.5
2020-03-14 04:19:21,18269575
2020-03-15 01:32:17,18270900
2020-03-15 21:59:09,18272225
2020-03-16 20:27:51,18273562.5
2020-03-17 19:05:31,18274887.5
2020-03-18 17:05:45,18276212.5
2020-03-19 14:24:53,18277537.5
2020-03-20 16:02:13,18278875
2020-03-21 13:40:53,18280200
2020-03-22 08:56:52,18281525
2020-03-23 07:46:33,18282850
2020-03-24 05:17:34,18284175
2020-03-25 00:24:11,18285500
2020-03-26 03:18:53,18286837.5
2020-03-26 17:32:08,18288162.5
2020-03-27 09:29:13,18289500
2020-03-28 02:48:15,18290825
2020-03-28 22:32:14,18292175
2020-03-29 15:08:40,18293512.5
2020-03-30 08:17:32,18294837.5
2020-03-31 02:00:33,18296162.5
2020-03-31 18:42:45,18297487.5
2020-04-01 11:14:32,18298825
2020-04-02 04:54:27,18300162.5
2020-04-02 19:53:29,18301487.5
2020-04-03 14:03:11,18302812.5
2020-04-04 10:32:50,18304150
2020-04-05 01:18:17,18305475
2020-04-05 16:49:59,18306800
2020-04-06 08:43:21,18308125
2020-04-07 03:21:48,18309450
2020-04-07 17:57:09,18310775
2020-04-08 10:17:23,18312112.5
2020-04-09 03:34:41,18313437.5
2020-04-09 21:10:39,18314762.5
2020-04-10 12:34:27,18316087.5
2020-04-11 03:52:50,18317412.5
2020-04-11 21:17:23,18318750
2020-04-12 11:47:13,18320075
2020-04-13 04:49:46,18321400
2020-04-13 20:14:40,18322737.5
2020-04-14 09:39:06,18324062.5
2020-04-15 02:25:26,18325387.5
2020-04-15 18:48:32,18326712.5
2020-04-16 09:06:48,18328037.5
2020-04-17 02:06:15,18329362.5
2020-04-17 22:41:47,18330700
2020-04-18 15:26:30,18332025
2020-04-19 07:21:55,18333350
2020-04-19 23:30:52,18334675
2020-04-20 15:53:10,18336000
2020-04-21 09:26:18,18337362.5
2020-04-22 01:20:17,18338687.5
2020-04-22 20:45:24,18340012.5
2020-04-23 14:53:08,18341337.5
2020-04-24 08:20:55,18342662.5
2020-04-25 03:06:33,18344000
2020-04-25 22:31:18,18345325
2020-04-26 16:56:28,18346662.5
2020-04-27 10:45:06,18347987.5
2020-04-28 05:25:18,18349325
2020-04-28 20:03:14,18350650
2020-04-29 14:15:23,18351987.5
2020-04-30 11:19:48,18353325
2020-05-01 05:05:51,18354675
2020-05-01 23:05:09,18356050
2020-05-02 15:59:12,18357375
2020-05-03 07:03:50,18358700
2020-05-03 23:36:51,18360037.5
2020-05-04 14:56:53,18361362.5
2020-05-05 07:27:01,18362687.5
2020-05-05 23:46:10,18364012.5
2020-05-06 16:09:24,18365387.5
2020-05-07 12:12:21,18366712.5
2020-05-08 03:40:56,18368037.5
2020-05-08 22:13:57,18369375
2020-05-09 18:07:53,18370700
2020-05-10 09:47:11,18372025
2020-05-11 00:23:13,18373362.5
2020-05-11 15:53:15,18374712.5
2020-05-12 08:39:53,18375518.75
2020-05-13 05:11:37,18376187.5
2020-05-14 02:12:30,18376850
2020-05-14 23:27:06,18377512.5
2020-05-15 20:19:43,18378175
2020-05-16 15:26:10,18378837.5
2020-05-17 15:39:57,18379500
2020-05-18 13:23:34,18380168.75
2020-05-19 10:28:22,18380843.75
2020-05-20 11:00:25,18381512.5
2020-05-21 05:41:02,18382175
2020-05-22 02:48:24,18382837.5
2020-05-23 01:00:15,18383500
2020-05-23 22:10:32,18384162.5
2020-05-24 19:14:54,18384825
2020-05-25 16:29:37,18385487.5
2020-05-26 14:16:07,18386150
2020-05-27 11:28:28,18386818.75
2020-05-28 04:07:36,18387500
2020-05-28 23:23:48,18388162.5
2020-05-29 18:36:00,18388831.25
2020-05-30 12:38:33,18389493.75
2020-05-31 05:17:14,18390156.25
2020-05-31 21:43:44,18390818.75
2020-06-01 18:58:39,18391481.25
2020-06-02 13:49:05,18392150
2020-06-03 07:48:01,18392812.5
2020-06-04 02:27:16,18393475
2020-06-04 18:34:11,18394137.5
2020-06-05 08:38:24,18394800
2020-06-06 00:00:24,18395468.75
2020-06-06 12:36:12,18396143.75
2020-06-07 02:41:04,18396812.5
2020-06-07 18:17:21,18397475
2020-06-08 10:59:18,18398137.5
2020-06-09 03:18:45,18398806.25
2020-06-09 18:47:56,18399475
2020-06-10 08:49:55,18400137.5
2020-06-11 01:31:24,18400800
2020-06-11 17:08:40,18401462.5
2020-06-12 07:44:49,18402125
2020-06-12 21:40:43,18402787.5
2020-06-13 12:36:05,18403450
2020-06-14 04:56:17,18404118.75
2020-06-14 20:54:42,18404787.5
2020-06-15 14:13:15,18405456.25
2020-06-16 07:11:30,18406125
2020-06-17 02:46:01,18406793.75
2020-06-17 19:52:31,18407462.5
2020-06-18 15:46:15,18408125
2020-06-19 10:35:46,18408787.5
2020-06-20 06:18:46,18409450
2020-06-20 23:48:32,18410112.5
2020-06-21 17:19:23,18410781.25
2020-06-22 10:39:43,18411456.25
2020-06-23 04:59:11,18412118.75
2020-06-23 20:14:07,18412781.25
2020-06-24 14:41:42,18413443.75
2020-06-25 08:20:19,18414106.25
2020-06-26 03:35:16,18414775
2020-06-26 19:19:02,18415443.75
2020-06-27 12:27:12,18416106.25
2020-06-28 04:23:31,18416768.75
2020-06-28 22:10:56,18417431.25
2020-06-29 16:24:31,18418093.75
2020-06-30 07:19:50,18418756.25
2020-07-01 03:11:39,18419418.75
2020-07-01 18:26:10,18420093.75
2020-07-02 08:56:15,18420756.25
2020-07-03 01:09:36,18421418.75
2020-07-03 18:04:15,18422087.5
2020-07-04 08:27:00,18422750
2020-07-05 01:10:02,18423412.5
2020-07-05 17:01:23,18424075
2020-07-06 10:36:09,18424737.5
2020-07-07 01:07:53,18425412.5
2020-07-07 17:24:42,18426081.25
2020-07-08 10:19:41,18426743.75
2020-07-09 03:13:46,18427418.75
2020-07-09 17:57:40,18428081.25
2020-07-10 10:06:42,18428750
2020-07-11 02:49:28,18429412.5
2020-07-11 18:43:26,18430075
2020-07-12 13:13:32,18430737.5
2020-07-13 03:49:06,18431400
2020-07-13 20:32:37,18432062.5
2020-07-14 16:25:45,18432731.25
2020-07-15 08:02:55,18433393.75
2020-07-16 03:03:55,18434056.25
2020-07-16 22:09:21,18434718.75
2020-07-17 18:49:31,18435381.25
2020-07-18 15:21:57,18436043.75
2020-07-19 12:31:25,18436718.75
2020-07-20 04:30:35,18437381.25
2020-07-21 00:20:38,18438043.75
2020-07-21 19:40:13,18438706.25
2020-07-22 14:47:55,18439368.75
2020-07-23 10:04:18,18440031.25
2020-07-24 04:18:15,18440693.75
2020-07-24 21:32:41,18441356.25
2020-07-25 10:40:27,18442025
2020-07-26 04:55:42,18442687.5
2020-07-26 21:37:09,18443356.25
2020-07-27 14:43:30,18444018.75
2020-07-28 08:18:53,18444687.5
2020-07-29 01:39:31,18445350
2020-07-29 17:49:01,18446012.5
2020-07-30 12:01:57,18446675
2020-07-31 07:38:26,18447337.5
2020-07-31 23:45:55,18448000
2020-08-01 18:27:30,18448662.5
2020-08-02 13:41:43,18449325
2020-08-03 07:39:07,18449987.5
2020-08-03 21:50:16,18450650
2020-08-04 15:15:33,18451312.5
2020-08-05 08:38:05,18451975
2020-08-06 04:54:42,18452637.5
2020-08-06 20:41:03,18453300
2020-08-07 13:38:35,18453968.75
2020-08-08 06:17:40,18454631.25
2020-08-09 00:18:50,18455293.75
2020-08-09 17:05:29,18455956.25
2020-08-10 11:28:36,18456618.75
2020-08-11 05:07:14,18457281.25
2020-08-11 20:53:33,18457943.75
2020-08-12 13:34:54,18458606.25
2020-08-13 04:40:06,18459268.75
2020-08-13 22:15:04,18459931.25
2020-08-14 14:06:35,18460593.75
2020-08-15 05:41:38,18461268.75
2020-08-15 22:24:26,18461931.25
2020-08-16 15:00:14,18462600
2020-08-17 09:58:19,18463262.5
2020-08-18 04:55:18,18463925
2020-08-18 23:58:39,18464593.75
2020-08-19 19:22:37,18465256.25
2020-08-20 11:59:31,18465918.75
2020-08-21 05:13:45,18466581.25
2020-08-21 22:03:20,18467243.75
2020-08-22 16:19:01,18467912.5
2020-08-23 09:19:01,18468575
2020-08-24 02:11:51,18469243.75
2020-08-24 19:46:59,18469906.25
2020-08-25 13:07:17,18470575
2020-08-26 08:20:25,18471237.5
2020-08-27 03:37:09,18471900
2020-08-27 23:21:52,18472568.75
2020-08-28 15:07:40,18473237.5
2020-08-29 07:03:18,18473900
2020-08-30 00:41:07,18474562.5
2020-08-30 21:41:37,18475225
2020-08-31 13:03:30,18475893.75
2020-09-01 07:54:41,18476556.25
2020-09-01 23:48:36,18477218.75
2020-09-02 18:31:16,18477887.5
2020-09-03 12:38:28,18478550
2020-09-04 08:01:12,18479212.5
2020-09-05 03:18:35,18479881.25
2020-09-05 21:25:03,18480550
2020-09-06 13:07:29,18481212.5
2020-09-07 08:23:47,18481881.25
2020-09-07 20:43:21,18482550
2020-09-08 13:57:55,18483212.5
2020-09-09 05:49:13,18483875
2020-09-09 21:41:33,18484537.5
2020-09-10 17:13:24,18485200
2020-09-11 10:02:40,18485868.75
2020-09-12 01:20:54,18486531.25
2020-09-12 17:31:49,18487200
2020-09-13 07:08:48,18487862.5
2020-09-14 00:10:29,18488525
2020-09-14 14:40:42,18489187.5
2020-09-15 07:19:39,18489856.25
2020-09-15 21:41:47,18490518.75
2020-09-16 14:09:53,18491181.25
2020-09-17 05:58:18,18491843.75
2020-09-17 20:32:47,18492506.25
2020-09-18 10:48:26,18493168.75
2020-09-19 04:07:26,18493831.25
2020-09-19 20:38:18,18494493.75
2020-09-20 15:41:14,18495156.25
2020-09-21 07:08:48,18495818.75
2020-09-22 02:12:47,18496481.25
2020-09-22 21:15:19,18497143.75
2020-09-23 17:55:23,18497806.25
2020-09-24 09:20:46,18498468.75
2020-09-25 04:25:04,18499143.75
2020-09-25 19:14:00,18499818.75
2020-09-26 13:23:27,18500481.25
2020-09-27 06:18:20,18501156.25
2020-09-27 21:31:55,18501825
2020-09-28 16:13:48,18502487.5
2020-09-29 12:00:50,18503156.25
2020-09-30 05:46:08,18503818.75
2020-09-30 22:05:25,18504481.25
2020-10-01 18:50:23,18505143.75
2020-10-02 13:34:11,18505806.25
2020-10-03 05:21:36,18506468.75
2020-10-03 23:45:13,18507137.5
2020-10-04 15:51:48,18507800
2020-10-05 08:41:58,18508462.5
2020-10-06 02:55:10,18509137.5
2020-10-06 23:38:17,18509806.25
2020-10-07 15:26:11,18510468.75
2020-10-08 07:50:03,18511131.25
2020-10-09 00:10:53,18511800
2020-10-09 20:15:45,18512462.5
2020-10-10 13:00:00,18513131.25
2020-10-11 06:14:25,18513800
2020-10-12 01:06:10,18514462.5
2020-10-12 17:40:27,18515125
2020-10-13 10:39:20,18515793.75
2020-10-14 00:58:39,18516456.25
2020-10-14 18:22:41,18517125
2020-10-15 13:01:38,18517787.5
2020-10-16 04:29:46,18518456.25
2020-10-16 21:07:27,18519118.75
2020-10-17 12:20:14,18519787.5
2020-10-18 04:42:03,18520450
2020-10-19 04:21:37,18521118.75
2020-10-20 00:20:53,18521781.25
2020-10-20 17:12:58,18522443.75
2020-10-21 12:46:54,18523112.5
2020-10-22 07:35:03,18523787.5
2020-10-23 04:41:20,18524450
2020-10-23 23:36:33,18525118.75
2020-10-24 15:15:55,18525787.5
2020-10-25 11:40:28,18526450
2020-10-26 08:27:41,18527112.5
2020-10-27 12:14:35,18527775
2020-10-28 12:14:50,18528437.5
2020-10-29 11:13:24,18529100
2020-10-30 10:14:03,18529762.5
2020-10-31 11:18:27,18530425
2020-11-01 07:09:27,18531087.5
2020-11-02 04:15:21,18531756.25
2020-11-03 05:47:13,18532418.75
2020-11-03 22:59:54,18533081.25
2020-11-04 14:29:23,18533743.75
2020-11-05 07:55:40,18534406.25
2020-11-06 01:24:21,18535100
2020-11-06 19:23:12,18535768.75
2020-11-07 12:00:06,18536431.25
2020-11-08 05:30:30,18537093.75
2020-11-08 23:55:35,18537768.75
2020-11-09 13:24:26,18538437.5
2020-11-10 04:07:45,18539100
2020-11-10 22:19:10,18539762.5
2020-11-11 16:47:26,18540425
2020-11-12 09:50:02,18541093.75
2020-11-13 00:06:26,18541756.25
2020-11-13 17:54:22,18542425
2020-11-14 11:45:24,18543093.75
2020-11-15 06:25:50,18543762.5
2020-11-15 23:18:07,18544425
2020-11-16 15:20:47,18545087.5
2020-11-17 07:06:24,18545750
2020-11-17 23:15:36,18546412.5
2020-11-18 13:19:49,18547081.25
2020-11-19 09:17:52,18547750
2020-11-20 01:16:04,18548412.5
2020-11-20 16:07:59,18549075
2020-11-21 07:43:18,18549737.5
2020-11-21 22:24:54,18550400
2020-11-22 12:39:50,18551068.75
2020-11-23 05:19:46,18551731.25
2020-11-23 21:35:25,18552393.75
2020-11-24 17:18:16,18553056.25
2020-11-25 10:45:57,18553718.75
